['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.1', '14.5'], ['-277.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-276.0', '334.5', '617.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.09', '14.5'], ['-277.0', '333.0', '618.0']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-275.0', '333.5', '617.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-277.5', '334.5', '616.5']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['31.1', '14.5'], ['-276.0', '340.5', '618.0']]
['1', ['30.92', '14.5'], ['-28.5', '640.5', '957.0']]
['1', ['30.92', '14.5'], ['-28.5', '640.5', '957.0']]
['1', ['30.92', '14.5'], ['-28.5', '640.5', '957.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['30.7', '14.5'], ['-158.0', '1456.0', '1729.0']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['31.23', '14.07'], ['-25.0', '1479.33', '1255.67']]
['1', ['32.77', '14.5'], ['205.0', '2447.0', '843.0']]
['1', ['32.59', '14.5'], ['263.5', '1877.5', '591.0']]
['1', ['32.59', '14.5'], ['263.5', '1877.5', '591.0']]
['1', ['32.59', '14.5'], ['263.5', '1877.5', '591.0']]
['1', ['32.59', '14.5'], ['263.5', '1877.5', '591.0']]
['1', ['32.59', '14.5'], ['263.5', '1877.5', '591.0']]
['1', ['32.59', '14.5'], ['263.5', '1877.5', '591.0']]
['1', ['32.59', '14.5'], ['263.5', '1877.5', '591.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
['1', ['32.4', '14.5'], ['274.5', '1819.0', '582.0']]
