['1', ['36.25', '8.76'], ['-447.25', '-199.75', '1310.0']]
['1', ['36.25', '8.76'], ['-447.25', '-199.75', '1310.0']]
['1', ['36.25', '8.76'], ['-447.25', '-199.75', '1310.0']]
['1', ['36.25', '8.76'], ['-447.25', '-199.75', '1310.0']]
['1', ['36.25', '8.76'], ['-447.25', '-199.75', '1310.0']]
['1', ['36.25', '8.76'], ['-447.25', '-199.75', '1310.0']]
['1', ['36.25', '8.76'], ['-447.25', '-199.75', '1310.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.75'], ['-446.75', '-199.25', '1309.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-446.0', '-200.75', '1310.0']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-447.0', '-199.0', '1307.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-446.25', '-201.0', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.76'], ['-445.5', '-199.75', '1310.5']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.74'], ['-423.5', '-263.75', '1277.25']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '8.01'], ['-278.75', '-338.5', '1059.5']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '7.91'], ['-311.5', '-300.75', '1092.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '8.09'], ['-311.0', '-283.5', '1103.0']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.98'], ['-344.0', '-242.0', '1100.75']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.74'], ['-372.75', '-208.5', '1106.0']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
['1', ['36.25', '7.33'], ['-385.5', '-164.5', '1121.25']]
