['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.5'], ['-766.0', '-405.25', '1575.5']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-766.25', '-405.0', '1576.0']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-767.25', '-405.5', '1575.75']]
['1', ['36.25', '9.51'], ['-765.5', '-405.0', '1574.5']]
['1', ['36.25', '9.51'], ['-765.5', '-405.0', '1574.5']]
['1', ['36.25', '9.51'], ['-765.5', '-405.0', '1574.5']]
['1', ['36.25', '9.51'], ['-765.5', '-405.0', '1574.5']]
['1', ['36.25', '9.51'], ['-765.5', '-405.0', '1574.5']]
['1', ['36.25', '9.51'], ['-765.5', '-405.0', '1574.5']]
['1', ['36.25', '9.51'], ['-765.5', '-405.0', '1574.5']]
