['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-200.0', '56.0', '281.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '283.0']]
['1', ['36.25', '14.5'], ['-197.0', '55.0', '282.0']]
['1', ['36.25', '14.5'], ['-197.0', '55.0', '282.0']]
['1', ['36.25', '14.5'], ['-197.0', '55.0', '282.0']]
['1', ['36.25', '14.5'], ['-197.0', '55.0', '282.0']]
['1', ['36.25', '14.5'], ['-197.0', '55.0', '282.0']]
['1', ['36.25', '14.5'], ['-197.0', '55.0', '282.0']]
['1', ['36.25', '14.5'], ['-197.0', '55.0', '282.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '281.0']]
['1', ['36.25', '14.5'], ['-198.0', '54.0', '281.0']]
