['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.75'], ['249.25', '-755.75', '516.5']]
['1', ['34.13', '16.76'], ['249.25', '-756.25', '516.5']]
['1', ['34.13', '16.76'], ['249.25', '-756.25', '516.5']]
['1', ['34.13', '16.76'], ['249.25', '-756.25', '516.5']]
['1', ['34.13', '16.76'], ['249.25', '-756.25', '516.5']]
['1', ['34.13', '16.76'], ['249.25', '-756.25', '516.5']]
['1', ['34.13', '16.76'], ['249.25', '-756.25', '516.5']]
['1', ['34.13', '16.76'], ['249.25', '-756.25', '516.5']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.76'], ['248.5', '-756.25', '516.0']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.75'], ['248.25', '-756.25', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.76'], ['249.0', '-756.0', '516.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.13', '16.75'], ['248.75', '-755.25', '515.25']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['34.11', '16.74'], ['247.25', '-734.5', '518.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.95', '16.79'], ['362.5', '-708.0', '502.0']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.8', '16.88'], ['418.5', '-749.5', '493.25']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.76', '16.91'], ['417.0', '-748.5', '488.0']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.93'], ['421.75', '-752.5', '485.25']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.75', '16.92'], ['425.75', '-755.75', '485.5']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.73', '16.95'], ['416.25', '-759.75', '480.75']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.93'], ['417.25', '-751.25', '484.0']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
['1', ['33.74', '16.94'], ['410.5', '-744.25', '485.5']]
