['1', ['36.25', '8.54'], ['-449.5', '-347.75', '1687.0']]
['1', ['36.25', '8.54'], ['-449.5', '-347.75', '1687.0']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-348.25', '1686.75']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
['1', ['36.25', '8.54'], ['-449.75', '-347.25', '1685.0']]
