['1', ['32.74', '4.03'], ['-92.5', '-51.75', '360.75']]
['1', ['32.74', '4.03'], ['-92.5', '-51.75', '360.75']]
['1', ['32.74', '4.03'], ['-92.5', '-51.75', '360.75']]
['1', ['32.74', '4.03'], ['-92.5', '-51.75', '360.75']]
['1', ['32.74', '4.03'], ['-92.5', '-51.75', '360.75']]
['1', ['32.74', '4.03'], ['-92.5', '-51.75', '360.75']]
['1', ['32.74', '4.03'], ['-92.5', '-51.75', '360.75']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-56.75', '362.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.76', '4.0'], ['-90.0', '-57.25', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.77', '4.0'], ['-87.75', '-60.5', '360.0']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
['1', ['32.79', '3.96'], ['-87.0', '-63.0', '361.25']]
