['1', ['33.25', '14.5'], ['-191.0', '306.0', '515.0']]
['1', ['33.25', '14.5'], ['-191.0', '306.0', '515.0']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '303.0', '516.5']]
['1', ['33.26', '14.5'], ['-193.5', '307.0', '514.5']]
['1', ['33.26', '14.5'], ['-193.5', '307.0', '514.5']]
['1', ['33.26', '14.5'], ['-193.5', '307.0', '514.5']]
['1', ['33.26', '14.5'], ['-193.5', '307.0', '514.5']]
['1', ['33.26', '14.5'], ['-193.5', '307.0', '514.5']]
['1', ['33.26', '14.5'], ['-193.5', '307.0', '514.5']]
['1', ['33.26', '14.5'], ['-193.5', '307.0', '514.5']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.26', '14.5'], ['-189.0', '306.5', '516.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
['1', ['33.23', '14.5'], ['-189.0', '294.5', '518.0']]
