['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-310.5', '18.5', '648.5']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.75', '14.5'], ['-309.5', '19.5', '647.0']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-311.0', '20.0', '647.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.73', '14.5'], ['-310.0', '19.0', '646.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.74', '14.5'], ['-309.5', '19.5', '647.5']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.75', '14.5'], ['-308.5', '22.5', '647.0']]
['1', ['31.89', '14.5'], ['23.0', '8.0', '634.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['30.92', '14.5'], ['-24.5', '33.0', '1797.0']]
['1', ['29.87', '14.5'], ['-2361.5', '355.0', '4959.0']]
['1', ['29.13', '14.5'], ['-8624.5', '5239.0', '8454.5']]
['1', ['29.17', '14.5'], ['-8569.0', '6528.5', '7813.5']]
['1', ['29.17', '14.5'], ['-8569.0', '6528.5', '7813.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
['1', ['29.19', '14.5'], ['-8528.5', '6901.5', '7862.5']]
