['1', ['36.25', '9.18'], ['-487.5', '-226.25', '1273.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.25', '1273.0']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.75', '-226.5', '1271.25']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-487.5', '-226.5', '1271.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.5', '-226.25', '1270.0']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
['1', ['36.25', '9.18'], ['-488.75', '-226.5', '1268.75']]
