['1', ['36.25', '9.27'], ['-632.0', '-313.5', '1321.5']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.5', '1320.75']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.26'], ['-632.25', '-313.0', '1321.5']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.27'], ['-632.0', '-313.0', '1320.0']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.25', '-312.75', '1319.75']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.26'], ['-631.75', '-310.5', '1320.0']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.23'], ['-627.25', '-316.0', '1316.75']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '9.1'], ['-573.25', '-374.25', '1284.0']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.14'], ['-478.25', '-431.75', '1095.5']]
['1', ['36.25', '8.04'], ['-478.25', '-392.25', '1106.75']]
['1', ['36.25', '8.04'], ['-478.25', '-392.25', '1106.75']]
['1', ['36.25', '8.04'], ['-478.25', '-392.25', '1106.75']]
