['1', ['36.25', '14.5'], ['-22.0', '237.0', '466.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '233.0', '467.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-18.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-23.0', '234.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '468.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-21.0', '235.0', '467.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['-23.0', '238.0', '469.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['25.0', '280.0', '464.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['174.0', '427.0', '449.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['197.0', '439.0', '451.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['207.0', '446.0', '453.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['213.0', '445.0', '455.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['217.0', '453.0', '457.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['222.0', '450.0', '460.0']]
['1', ['36.25', '14.5'], ['219.0', '449.0', '459.0']]
['1', ['36.25', '14.5'], ['219.0', '449.0', '459.0']]
['1', ['36.25', '14.5'], ['219.0', '449.0', '459.0']]
['1', ['36.25', '14.5'], ['219.0', '449.0', '459.0']]
['1', ['36.25', '14.5'], ['219.0', '449.0', '459.0']]
