['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-310.75', '1676.75']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1677.0']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-816.0', '-310.0', '1675.5']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.8'], ['-815.25', '-311.25', '1674.0']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.79'], ['-814.5', '-309.75', '1674.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.77'], ['-783.5', '-388.25', '1651.5']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '9.31'], ['-606.25', '-536.25', '1451.0']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.88'], ['-663.0', '-411.0', '1449.75']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '8.31'], ['-751.0', '-307.0', '1402.25']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
['1', ['36.25', '7.86'], ['-775.25', '-259.0', '1386.5']]
