['1', ['36.25', '9.08'], ['-503.0', '-433.25', '1772.5']]
['1', ['36.25', '9.08'], ['-503.0', '-433.25', '1772.5']]
['1', ['36.25', '9.08'], ['-503.0', '-433.25', '1772.5']]
['1', ['36.25', '9.08'], ['-503.0', '-433.25', '1772.5']]
['1', ['36.25', '9.08'], ['-503.0', '-433.25', '1772.5']]
['1', ['36.25', '9.08'], ['-503.0', '-433.25', '1772.5']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-503.0', '-432.75', '1772.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.08'], ['-502.5', '-433.75', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.75', '-433.0', '1771.25']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.09'], ['-502.5', '-433.0', '1770.0']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.08'], ['-499.0', '-430.75', '1768.5']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '9.03'], ['-476.0', '-501.5', '1770.75']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.54'], ['-368.5', '-628.0', '1548.5']]
['1', ['36.25', '8.24'], ['-395.25', '-566.5', '1570.75']]
['1', ['36.25', '8.24'], ['-395.25', '-566.5', '1570.75']]
