['1', ['36.25', '9.03'], ['-716.75', '-458.75', '1781.5']]
['1', ['36.25', '9.03'], ['-716.75', '-458.75', '1781.5']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.75', '-459.25', '1781.0']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.25', '1781.5']]
['1', ['36.25', '9.03'], ['-717.0', '-459.5', '1780.75']]
['1', ['36.25', '9.03'], ['-717.0', '-459.5', '1780.75']]
['1', ['36.25', '9.03'], ['-717.0', '-459.5', '1780.75']]
['1', ['36.25', '9.03'], ['-717.0', '-459.5', '1780.75']]
['1', ['36.25', '9.03'], ['-717.0', '-459.5', '1780.75']]
