['1', ['36.25', '6.97'], ['-131.25', '-57.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.95'], ['-130.25', '-56.25', '483.5']]
['1', ['36.25', '6.96'], ['-130.5', '-56.0', '483.5']]
['1', ['36.25', '6.96'], ['-130.5', '-56.0', '483.5']]
['1', ['36.25', '6.96'], ['-130.5', '-56.0', '483.5']]
['1', ['36.25', '6.96'], ['-130.5', '-56.0', '483.5']]
['1', ['36.25', '6.96'], ['-130.5', '-56.0', '483.5']]
['1', ['36.25', '6.96'], ['-130.5', '-56.0', '483.5']]
['1', ['36.25', '6.96'], ['-130.5', '-56.0', '483.5']]
