['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.28', '19.34'], ['-176.75', '76.25', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.27', '19.35'], ['-176.75', '76.5', '322.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.28', '19.34'], ['-177.0', '77.0', '323.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.26', '19.35'], ['-176.0', '77.0', '322.0']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.27', '19.35'], ['-176.5', '75.75', '322.25']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.26', '19.34'], ['-176.5', '76.0', '322.5']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['32.31', '19.29'], ['-177.5', '87.25', '320.75']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.88', '19.6'], ['-52.25', '56.5', '352.0']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.74', '19.7'], ['14.5', '26.25', '371.5']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.8', '19.61'], ['0.25', '40.0', '384.0']]
['1', ['31.83', '19.63'], ['17.25', '24.5', '378.75']]
['1', ['31.83', '19.63'], ['17.25', '24.5', '378.75']]
['1', ['31.83', '19.63'], ['17.25', '24.5', '378.75']]
['1', ['31.83', '19.63'], ['17.25', '24.5', '378.75']]
['1', ['31.83', '19.63'], ['17.25', '24.5', '378.75']]
['1', ['31.83', '19.63'], ['17.25', '24.5', '378.75']]
['1', ['31.83', '19.63'], ['17.25', '24.5', '378.75']]
