['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.23', '14.5'], ['517.5', '2835.5', '1444.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['476.0', '2752.5', '1463.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.22', '14.5'], ['452.5', '2721.0', '1474.5']]
['1', ['30.23', '14.5'], ['443.0', '2652.0', '1453.0']]
['1', ['30.23', '14.5'], ['443.0', '2652.0', '1453.0']]
