['1', ['30.79', '14.5'], ['-189.5', '739.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.81', '14.5'], ['-189.0', '740.5', '626.5']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.8', '14.5'], ['-184.5', '738.5', '622.0']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.81', '14.5'], ['-181.0', '738.5', '621.5']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
['1', ['30.82', '14.5'], ['-183.5', '742.0', '620.0']]
