['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.19'], ['-546.25', '-245.75', '1464.75']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.5', '-246.0', '1464.25']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.2'], ['-547.25', '-246.5', '1464.75']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.25', '-247.5', '1465.25']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.19'], ['-547.0', '-245.25', '1463.0']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '9.14'], ['-522.25', '-312.5', '1455.75']]
['1', ['36.25', '8.52'], ['-398.5', '-431.5', '1237.25']]
['1', ['36.25', '8.52'], ['-398.5', '-431.5', '1237.25']]
['1', ['36.25', '8.52'], ['-398.5', '-431.5', '1237.25']]
