['1', ['36.25', '7.13'], ['-91.75', '-64.5', '469.0']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.14'], ['-91.5', '-64.75', '469.75']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-91.5', '-64.75', '470.25']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-92.0', '-64.0', '470.0']]
['1', ['36.25', '7.13'], ['-91.0', '-65.0', '470.75']]
['1', ['36.25', '7.13'], ['-91.0', '-65.0', '470.75']]
['1', ['36.25', '7.13'], ['-91.0', '-65.0', '470.75']]
