['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-76.75', '-40.5', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.03'], ['-77.0', '-40.75', '487.5']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.25', '-40.5', '487.0']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.04'], ['-77.5', '-40.5', '486.75']]
['1', ['36.25', '7.05'], ['-74.75', '-41.25', '487.25']]
['1', ['36.25', '7.05'], ['-74.75', '-41.25', '487.25']]
['1', ['36.25', '7.05'], ['-74.75', '-41.25', '487.25']]
['1', ['36.25', '7.05'], ['-74.75', '-41.25', '487.25']]
