['1', ['36.25', '9.16'], ['-505.5', '-329.25', '1301.5']]
['1', ['36.25', '9.16'], ['-505.5', '-329.25', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.16'], ['-504.5', '-330.5', '1301.5']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-505.75', '-330.75', '1300.75']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.17'], ['-504.75', '-331.0', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
['1', ['36.25', '9.16'], ['-503.75', '-330.5', '1300.5']]
