['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['1.0', '84.0', '464.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '83.0', '465.0']]
['1', ['36.25', '14.5'], ['0.0', '84.0', '462.0']]
