['1', ['36.25', '8.63'], ['-389.0', '-322.25', '1546.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.25', '1546.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.25', '1546.0']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.25', '-321.25', '1544.75']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.63'], ['-389.0', '-322.0', '1545.0']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.64'], ['-390.25', '-322.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.25', '-321.0', '1543.75']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.5', '-321.75', '1543.25']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
['1', ['36.25', '8.63'], ['-388.0', '-318.75', '1541.5']]
