['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.1', '11.83'], ['88.33', '129.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['91.67', '127.67', '399.67']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.12', '11.82'], ['92.33', '127.0', '399.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.13', '11.81'], ['92.67', '123.67', '398.33']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.14', '11.8'], ['94.0', '121.67', '398.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.16', '11.78'], ['95.67', '121.0', '396.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['34.05', '11.85'], ['125.33', '117.0', '401.0']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['33.99', '11.9'], ['192.67', '112.33', '407.67']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.01', '11.92'], ['183.67', '114.67', '403.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['197.0', '98.33', '399.33']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.04', '11.94'], ['200.33', '104.33', '401.0']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
['1', ['34.11', '11.9'], ['206.33', '93.33', '394.67']]
