['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.19', '14.5'], ['-116.0', '629.5', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-118.0', '630.0', '575.5']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.2', '14.5'], ['-116.5', '629.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.21', '14.5'], ['-115.5', '631.0', '573.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '629.0', '571.0']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.2', '14.5'], ['-113.5', '630.5', '574.5']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.14', '14.5'], ['38.5', '579.0', '600.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
['1', ['31.27', '14.5'], ['64.0', '605.0', '587.0']]
